Date,Open,High,Low,Close,Volume
2024-06-12 00:00:00+05:30,85.49,87.97,85.11,87.69,28483465
2024-06-13 00:00:00+05:30,89.12,89.36,87.54,88.44,25019244
2024-06-14 00:00:00+05:30,88.44,89.56,87.69,89.12,19122127
2024-06-18 00:00:00+05:30,89.52,90.27,88.44,88.64,22401431
2024-06-19 00:00:00+05:30,89.01,89.36,86.84,87.36,16413252
2024-06-20 00:00:00+05:30,87.32,91.86,86.41,91.07,67611740
2024-06-21 00:00:00+05:30,91.66,91.72,89.34,89.89,28694290
2024-06-24 00:00:00+05:30,89.14,89.22,87.36,87.99,19735758
2024-06-25 00:00:00+05:30,88.84,89.09,85.19,86.01,29381038
2024-06-26 00:00:00+05:30,85.29,85.32,82.74,83.08,58491578
2024-06-27 00:00:00+05:30,83.32,84.46,80.41,81.83,59962427
2024-06-28 00:00:00+05:30,82.28,83.62,81.81,82.01,38813069
2024-07-01 00:00:00+05:30,81.66,84.07,81.55,83.86,73207420
2024-07-02 00:00:00+05:30,83.86,84.04,80.79,81.44,71769688
2024-07-03 00:00:00+05:30,82.29,84.09,82.03,83.73,34677870
2024-07-04 00:00:00+05:30,84.49,85.12,83.6,83.86,39882073
2024-07-05 00:00:00+05:30,83.32,84.66,82.99,84.08,42368098
2024-07-08 00:00:00+05:30,84.39,84.46,83.16,83.37,26698026
2024-07-09 00:00:00+05:30,83.66,84.72,83.33,83.76,31232799
2024-07-10 00:00:00+05:30,83.82,84.19,79.85,81.63,37220654
2024-07-11 00:00:00+05:30,82.01,82.43,81.41,82.06,21019700
2024-07-12 00:00:00+05:30,82.4,82.95,81.39,82.08,14540330
2024-07-15 00:00:00+05:30,82.33,82.74,81.21,82.37,17761926
2024-07-16 00:00:00+05:30,82.66,83.56,82.05,82.23,20176757
2024-07-18 00:00:00+05:30,82.13,82.13,80.23,80.63,18945872
2024-07-19 00:00:00+05:30,80.61,80.61,76.0,76.25,34680708
2024-07-22 00:00:00+05:30,75.99,78.53,74.99,77.96,20967777
2024-07-23 00:00:00+05:30,78.29,78.73,73.62,78.22,39103684
2024-07-24 00:00:00+05:30,78.13,79.14,77.25,77.57,17059934
2024-07-25 00:00:00+05:30,76.66,78.31,75.84,76.62,32282490
2024-07-26 00:00:00+05:30,77.48,79.77,77.35,79.51,25190159
2024-07-29 00:00:00+05:30,80.03,81.99,79.74,81.39,30857456
2024-07-30 00:00:00+05:30,80.93,81.61,80.13,81.0,15008464
2024-07-31 00:00:00+05:30,81.49,81.97,80.3,80.53,19702151
2024-08-01 00:00:00+05:30,80.89,83.04,80.46,80.9,38144947
2024-08-02 00:00:00+05:30,79.93,80.08,78.18,78.63,16853528
2024-08-05 00:00:00+05:30,76.98,77.12,73.86,74.76,25599214
2024-08-06 00:00:00+05:30,74.91,77.15,73.95,74.24,18331770
2024-08-07 00:00:00+05:30,75.33,76.54,74.7,76.18,21140612
2024-08-08 00:00:00+05:30,76.39,76.57,73.96,74.16,18493753
2024-08-09 00:00:00+05:30,74.99,75.39,72.83,73.84,22591953
2024-08-12 00:00:00+05:30,72.99,76.89,72.36,76.54,28979202
2024-08-13 00:00:00+05:30,78.31,78.31,74.36,74.81,42777426
2024-08-14 00:00:00+05:30,75.0,75.24,70.01,70.31,70795800
2024-08-16 00:00:00+05:30,71.66,72.66,70.04,72.48,45613102
2024-08-19 00:00:00+05:30,73.23,73.73,72.39,73.28,20970729
2024-08-20 00:00:00+05:30,73.61,75.11,73.21,74.85,29728083
2024-08-21 00:00:00+05:30,74.99,75.79,74.03,74.22,30328413
2024-08-22 00:00:00+05:30,74.83,75.96,74.58,75.44,23110663
2024-08-23 00:00:00+05:30,75.63,75.63,73.79,73.91,14066850
2024-08-26 00:00:00+05:30,74.33,76.73,73.91,76.4,25272883
2024-08-27 00:00:00+05:30,76.68,77.69,76.27,76.54,22522172
2024-08-28 00:00:00+05:30,76.66,76.96,75.26,75.4,15854545
2024-08-29 00:00:00+05:30,75.25,75.56,73.51,74.63,16573579
2024-08-30 00:00:00+05:30,74.83,75.38,74.02,74.21,18515755
2024-09-02 00:00:00+05:30,73.66,73.92,71.49,72.13,34798776
2024-09-03 00:00:00+05:30,71.66,72.46,71.27,71.65,25016916
2024-09-04 00:00:00+05:30,70.99,71.65,69.7,70.36,31027162
2024-09-05 00:00:00+05:30,70.64,71.18,70.24,70.89,18995335
2024-09-06 00:00:00+05:30,70.89,70.89,69.12,70.32,26009460
2024-09-09 00:00:00+05:30,70.32,70.46,68.29,69.22,24394176
2024-09-10 00:00:00+05:30,69.26,70.73,69.26,70.3,20927750
2024-09-11 00:00:00+05:30,70.16,70.66,68.56,68.92,17831206
2024-09-12 00:00:00+05:30,69.66,72.26,69.49,71.82,38043813
2024-09-13 00:00:00+05:30,72.28,73.96,72.0,73.56,42729361
2024-09-16 00:00:00+05:30,73.89,74.49,72.85,73.03,24646349
2024-09-17 00:00:00+05:30,72.89,73.14,71.21,71.55,14345998
2024-09-18 00:00:00+05:30,71.36,71.42,69.81,70.7,20857948
2024-09-19 00:00:00+05:30,70.89,71.67,68.55,70.79,28291122
2024-09-20 00:00:00+05:30,71.33,72.76,70.6,70.84,42953753
2024-09-23 00:00:00+05:30,71.06,71.99,70.71,71.79,17710477
2024-09-24 00:00:00+05:30,72.96,75.2,72.68,74.64,70828122
2024-09-25 00:00:00+05:30,75.26,76.39,74.93,75.26,44230741
2024-09-26 00:00:00+05:30,75.24,78.41,73.96,78.09,81674740
2024-09-27 00:00:00+05:30,79.06,79.93,78.09,78.39,53408389
2024-09-30 00:00:00+05:30,80.99,82.39,80.03,81.63,134903165
2024-10-01 00:00:00+05:30,81.58,82.46,79.79,81.5,48937393
2024-10-03 00:00:00+05:30,79.37,81.79,78.91,79.79,45078338
2024-10-04 00:00:00+05:30,79.33,80.66,78.03,78.85,26796835
2024-10-07 00:00:00+05:30,79.41,80.57,75.04,76.24,39741044
2024-10-08 00:00:00+05:30,74.66,74.73,70.33,72.99,93530510
